Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
63879,4,Extend,>>,-1147,-88.79,291,273,380,10.667294172733705,-81.266,-3.7439999999999998,1,-3.4806499979210765,11.880947702594295
63990,4,Extend,>>,-1192,-92.66,292,271,378,10.887989375137336,-85.06400000000001,-3.798000000000002,1,-3.4713461576734277,11.72328312282681
64100,4,Extend,>>,-1237,-96.62,290,270,378,10.882050637001528,-88.88000000000001,-3.8160000000000025,1,-3.4898782586251826,12.037991453680016
64209,4,Extend,<<,-1237,-100.13,294,269,378,10.991520349968884,-92.66,-3.779999999999987,1,-3.4525117385475013,11.40615673458924
64319,4,Extend,<<,-1192,-101.45,296,274,384,11.178097525895865,-95.93000000000002,-3.2700000000000244,1,-3.4333750012474034,11.086744126258123
64430,4,Extend,<<,-1147,-101.45,301,277,389,11.253144741205537,-98.46200000000002,-2.5319999999999965,1,-3.3842105159851577,10.279094669858479
64541,4,Extend,<<,-1102,-100.48,303,278,390,11.457886845096452,-100.026,-1.5639999999999787,1,-3.36401566507546,9.952749062051414
64651,4,Extend,<<,-1057,-97.23,303,278,393,11.33169838804362,-100.148,-0.12199999999999989,1,-3.36401566507546,9.952749062051414
88476,4,Extend,>>,1283,118.24,461,405,605,8.61986460093907,124.696,-0.9839999999999947,2,-0.8132970128273431,-5.960634089769789
88587,4,Extend,>>,1238,114.29,460,403,604,6.569575783333384,121.83,-2.8659999999999997,2,-0.8353737959337373,-6.038325587975111
88698,4,Extend,>>,1193,110.42,461,405,604,5.28257323574158,118.19000000000001,-3.6399999999999864,2,-0.8132970128273431,-5.960634089769789
88810,4,Extend,>>,1148,106.37,459,404,604,3.946942904044159,114.28599999999999,-3.904000000000025,2,-0.85737499949659,-6.112008809424769
88921,4,Extend,>>,1103,102.59,459,401,604,1.8400101324120144,110.38199999999999,-3.9039999999999964,2,-0.85737499949659,-6.112008809424769
89032,4,Extend,>>,1058,98.81,458,403,604,-0.0438537563532436,106.49600000000001,-3.8859999999999815,2,-0.8793006235158991,-6.181722255161091
89144,4,Extend,>>,1013,94.68,458,404,601,-1.8013152539129176,102.574,-3.9220000000000113,2,-0.8793006235158991,-6.181722255161091
89255,4,Extend,>>,968,90.81,459,405,602,-3.365889716553787,98.652,-3.921999999999997,2,-0.85737499949659,-6.112008809424769
