Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD
28073,5,Extend,>>,-471,-36.04,840,179.73721262057995,167.9506147867888
28175,5,Extend,>>,-508,-39.3,843,179.5158654777369,167.91764959389224
28277,5,Extend,>>,-545,-42.37,846,179.1201916420833,168.483037606719
28380,5,Extend,>>,-582,-45.54,849,178.46098873852904,168.29578300071566
28482,5,Extend,>>,-619,-48.88,852,177.42879360693988,168.01664000846083
28584,5,Extend,>>,-656,-52.04,855,177.73623653142417,168.45223129536643
28686,5,Extend,>>,-693,-55.21,859,177.45536419668315,168.5347597170287
28788,5,Extend,>>,-730,-58.29,862,176.9303497060599,168.26233486465506
28890,5,Extend,>>,-767,-61.36,865,176.46649672088938,168.0160306279953
28992,5,Extend,>>,-804,-64.53,868,175.90416220564884,168.51909520076228
29094,5,Extend,>>,-841,-67.78,871,175.00589206622882,168.8453753349309
29197,5,Extend,>>,-878,-71.03,874,173.42192678784096,168.27610657727828
29299,5,Extend,>>,-915,-74.2,877,173.08399380920758,169.21606058727392
29401,5,Extend,>>,-952,-77.45,880,171.5445690607373,169.14688529492977
29504,5,Extend,>>,-989,-80.53,883,170.19219518831898,169.77837191102228
29608,5,Extend,>>,-1026,-83.6,886,168.34904745536411,170.69879427212217
29710,5,Extend,>>,-1063,-86.77,889,165.87247605475073,170.85221433476607
29813,5,Extend,>>,-1100,-89.93,892,164.5517304580977,171.71931775727816
29916,5,Extend,>>,-1137,-93.27,895,162.89046165646465,172.30477187187003
30019,5,Extend,>>,-1174,-96.53,899,161.00919293079335,173.5850225235232
30121,5,Extend,>>,-1211,-99.6,902,159.66896415015995,173.93340388786083
30223,5,Extend,>>,-1248,-102.77,905,158.08092612615945,174.87148277548
30325,5,Extend,>>,-1285,-105.85,908,157.15428783040318,175.86210257310464
30428,5,Extend,>>,-1322,-109.01,911,156.16259512599385,176.09573586347886
30530,5,Extend,>>,-1359,-112.35,914,155.52067018013125,177.04710441579445
30633,5,Extend,>>,-1396,-115.6,917,155.22251615261908,177.04099722869336
30735,5,Extend,>>,-1433,-118.77,920,154.34965016217785,177.8624250937229
30838,5,Extend,>>,-1470,-122.02,923,154.25277623836732,178.17668819714268
30941,5,Extend,>>,-1507,-125.27,926,154.21704994044484,179.07677947121235
31043,5,Extend,>>,-1544,-128.35,929,153.93656993505957,179.45187745457574
31145,5,Extend,>>,-1581,-131.52,932,153.64993802453012,179.91052734337134
31249,5,Extend,>>,-1618,-134.77,935,153.60724361599605,179.48984031473316
31351,5,Extend,>>,-1655,-137.93,938,152.7002561342637,179.53500098438616
31453,5,Extend,>>,-1692,-141.19,942,152.65012421993015,179.37011889309625
31556,5,Extend,>>,-1729,-144.44,945,152.65012421993015,179.1292326691617
31658,5,Extend,>>,-1766,-147.6,948,152.59593606779217,178.9692407662606
31761,5,Extend,>>,-1803,-150.86,951,152.26237094787123,178.84111347099923
31864,5,Extend,>>,-1840,-154.11,954,152.26237094787123,178.37924097295982
31966,5,Extend,>>,-1877,-157.27,957,152.50908406052034,178.15106155969545
32069,5,Extend,>>,-1914,-160.53,960,152.26990646138515,178.22257678347881
32171,5,Extend,>>,-1951,-163.6,963,152.5170371700276,178.4563900015567
32274,5,Extend,>>,-1988,-166.68,966,151.93958295642966,178.3228130183021
32376,5,Extend,>>,-2025,-169.76,969,151.30545177833633,178.11578008056097
32479,5,Extend,<<,-2025,-172.84,972,151.6222809119924,177.65390758252167
32582,5,Extend,<<,-1988,-173.89,975,151.5529855059327,177.88015022485013
