Time(ms),MotorID,SensorA0,∠ABD_smooth,cycle
124106,4,306,8.92731420857666,3
124222,4,304,9.9808088124205,3
124336,4,302,10.51999060392733,3
124449,4,302,10.935519161759744,3
124563,4,299,11.13659620301193,3
124677,4,299,11.5775855745717,3
124791,4,298,11.815671967942093,3
124906,4,296,11.924185458507662,3
125019,4,296,12.206251787361776,3
125133,4,297,12.262562034685624,3
125248,4,296,12.139287795230516,3
125361,4,298,12.610909228301589,3
125473,4,296,12.95625147346189,3
125587,4,298,12.920953281154045,3
125702,4,302,12.690742395618926,3
125813,4,308,12.754599419678115,3
125928,4,309,12.87225381202848,3
126040,4,311,12.85309506530768,3
150268,4,476,4.631068118427686,4
150380,4,475,3.765511555699617,4
150493,4,474,1.7110669989036198,4
150606,4,475,-0.5520738285674522,4
150720,4,475,-3.612737226469118,4
150833,4,476,-5.655106305910768,4
150947,4,472,-7.485807940193268,4
151058,4,474,-10.217692777556278,4
151169,4,474,-12.342397805102475,4
151280,4,473,-14.32839668099346,4
151391,4,475,-16.44483317542666,4
151502,4,474,-17.299757213616473,4
151613,4,474,-17.86155610351171,4
151723,4,473,-17.86972405878043,4
151834,4,472,-17.22280242248189,4
151945,4,470,-16.83606891655434,4
152057,4,470,-16.453886702620867,4
152168,4,470,-16.456972643207322,4
152279,4,466,-16.390896776629585,4
152390,4,461,-15.777927425363632,4
152502,4,456,-15.046978131016942,4
152613,4,453,-14.260619457987554,4
152724,4,449,-13.411040468925744,4
152835,4,444,-12.696078956748847,4
152946,4,439,-11.971095080200447,4
153057,4,435,-11.1895129571442,4
153167,4,432,-10.888987879781109,4
153277,4,426,-10.866299141457173,4
153387,4,423,-10.2449761979479,4
153497,4,418,-9.10044799385375,4
153609,4,411,-8.049450025631764,4
153719,4,406,-6.68110029139622,4
153831,4,399,-5.758281535595412,4
153942,4,392,-4.916487016419115,4
154053,4,377,-3.2547549636071715,4
154163,4,370,-1.8736594656349224,4
154275,4,363,-0.7906264471053477,4
154387,4,356,0.4266476305197982,4
154498,4,348,1.7186293640804515,4
154608,4,340,3.2135573035372023,4
154720,4,329,4.504594066378193,4
154831,4,314,5.153537009358583,4
154942,4,309,5.947436486344667,4
155054,4,307,6.8821165219464175,4
155165,4,304,7.3990923976987935,4
155276,4,302,8.056824726618835,4
155387,4,300,9.863648358168708,4
155499,4,298,11.094179039494582,4
155610,4,295,11.525336515336011,4
155721,4,297,11.799092751090877,4
155832,4,294,12.065301041244949,4
155944,4,295,12.453581513160344,4
156055,4,294,12.648721856616522,4
156167,4,292,12.958489029156716,4
156278,4,293,13.220497650911875,4
156390,4,292,13.130257537074,4
156501,4,292,13.12361608606659,4
156613,4,294,13.105436144188182,4
156723,4,297,13.400067903500808,4
156835,4,300,13.7897505110352,4
156946,4,303,14.808980607135236,4
157057,4,303,15.899038819914242,4
180920,4,475,7.006839148589947,5
181030,4,475,6.550435603899155,5
181139,4,475,7.342395286271172,5
181249,4,474,7.802464076118706,5
181359,4,475,7.324174212512815,5
181469,4,475,6.221838546159047,5
181578,4,474,4.816815271397816,5
181688,4,475,2.888991071801998,5
181798,4,473,1.280695967134962,5
181908,4,473,-0.0432087617506724,5
182018,4,473,-1.1424185565452398,5
182127,4,474,-2.425424464902421,5
182237,4,473,-3.587063345297568,5
182347,4,472,-4.041087907901555,5
182457,4,471,-4.2915614494233765,5
182567,4,468,-4.571914773796255,5
182676,4,466,-4.834165322323491,5
182786,4,467,-4.739370016243403,5
182896,4,462,-4.552906432917886,5
183006,4,460,-4.427878242315126,5
183116,4,458,-4.130567303122821,5
183225,4,453,-3.565297133751668,5
183335,4,450,-2.9685353611242857,5
183445,4,446,-2.36100564645723,5
183556,4,441,-1.9220651712392307,5
183666,4,435,-2.1844193904140035,5
183776,4,431,-2.743321158599884,5
183886,4,429,-3.1785848636551037,5
183996,4,423,-3.0660499896458786,5
184106,4,418,-2.756464465151711,5
184217,4,407,-2.294579774508309,5
184327,4,402,-1.8223849282148517,5
184437,4,397,-1.3184476743342926,5
184546,4,384,-0.688701414158542,5
184656,4,382,0.3630513966474889,5
184766,4,373,1.4071322492668132,5
184876,4,365,2.2055887764760578,5
184986,4,359,3.293547121584364,5
185095,4,353,4.612977799982883,5
185205,4,343,6.3996740531131255,5
185316,4,332,7.9424346600654525,5
185426,4,323,8.87288952021467,5
185536,4,317,9.378659779062623,5
