Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
142798,1,Flex,>>,1785,162.46,405,328,492,65.6601628184699,32.033429836979124,97.69359265544902,-1.5307887752656573,73.74198446929906,Flex
142812,2,Flex,>>,-706,-52.66,408,323,487,65.93849076248483,32.11343529915451,98.05192606163934,-1.4068215740700443,71.95199998357319,Flex
142827,3,Flex,>>,-1790,-147.96,407,326,488,65.93849076248483,32.11343529915451,98.05192606163934,-1.481430982930064,73.04264339277523,Flex
142907,1,Flex,>>,1746,158.95,426,331,500,66.62581171462055,32.06795066116305,98.6937623757836,-1.604252743412417,74.75018379816851,Flex
142922,2,Flex,>>,-770,-58.29,424,330,497,66.89138802030588,32.02665118587838,98.91803920618426,-1.579841116744381,74.4195046552735,Flex
142936,3,Flex,>>,-1856,-153.67,424,332,497,66.89138802030588,32.02665118587838,98.91803920618426,-1.6285880073662355,75.07552972548615,Flex
143017,1,Flex,>>,1707,155.52,437,340,509,67.61191359724731,32.371744098386344,99.98365769563365,-1.8205210612849596,77.49112334303672,Flex
143032,2,Flex,>>,-834,-63.74,436,339,507,67.61191359724731,32.371744098386344,99.98365769563365,-1.7967966990448798,77.20699921495347,Flex
143047,3,Flex,>>,-1922,-159.47,435,336,506,67.918952473167,32.52910891098931,100.4480613841563,-1.7251654360393363,76.32438747471446,Flex
143127,1,Flex,>>,1668,152.09,447,346,521,68.5110848243573,32.83523950168545,101.34632432604275,-1.9612636177268743,79.09278104919868,Flex
143142,2,Flex,>>,-898,-69.19,443,343,518,68.8147577318405,32.918356539122016,101.73311427096252,-1.891235971719895,78.31380783929905,Flex
143156,3,Flex,>>,-1988,-165.1,443,341,517,68.8147577318405,32.918356539122016,101.73311427096252,-1.844169060810822,77.77027333506459,Flex
143237,1,Flex,>>,1629,148.66,450,351,531,69.25381674525076,33.2069217352534,102.46073848050416,-2.076449106787493,80.29677104442476,Flex
143252,2,Flex,>>,-962,-74.64,447,349,532,69.40547048513581,33.350518897132616,102.75598938226842,-2.0306039993058973,79.82908940175074,Flex
143267,3,Flex,>>,-2054,-170.81,446,349,531,69.40547048513581,33.350518897132616,102.75598938226842,-2.0306039993058973,79.82908940175074,Flex
143347,1,Flex,>>,1590,145.32,459,359,546,69.69618199628329,33.55727758604937,103.25345958233265,-2.256775028145181,81.98854234985365,Flex
143362,2,Flex,>>,-1026,-80.35,455,357,543,69.69618199628329,33.55727758604937,103.25345958233265,-2.212151724091063,81.59184197902125,Flex
143376,3,Flex,>>,-2120,-176.53,455,355,542,69.77908825013613,33.72836687760929,103.50745512774542,-2.1672229691800755,81.1778459016212,Flex
143457,1,Flex,>>,1551,141.89,459,365,557,70.25806987798836,33.82607457145664,104.084144449445,-2.388812235166318,83.07782267896118,Flex
143471,2,Flex,>>,-1090,-85.8,457,363,554,70.25806987798836,33.82607457145664,104.084144449445,-2.345105283682809,82.73123938283437,Flex
143486,3,Flex,>>,-2186,-182.33,457,362,553,70.49783811059193,33.89526411813246,104.39310222872439,-2.323137263869728,82.55181118888754,Flex
143567,1,Flex,>>,1512,138.64,460,373,568,70.82435587844164,34.261231378430786,105.08558725687243,-2.560585532531664,84.305803788882,Flex
143581,2,Flex,>>,-1154,-91.43,453,369,563,71.0362131798871,34.42279408519399,105.45900726508108,-2.47530978556273,83.722910200841,Flex
143596,3,Flex,>>,-2252,-187.87,454,370,567,71.0362131798871,34.42279408519399,105.45900726508108,-2.4967432663762894,83.87437523259767,Flex
143676,1,Flex,>>,1473,135.3,463,381,580,71.79379610376805,34.36330094822594,106.15709705199399,-2.7274716161871,85.29403827132154,Flex
143691,2,Flex,>>,-1218,-97.05,459,379,576,71.79379610376805,34.36330094822594,106.15709705199399,-2.686208271558545,85.06847721354356,Flex
143707,3,Flex,>>,-2318,-193.58,459,378,577,71.79379610376805,34.36330094822594,106.15709705199399,-2.6654620551729415,84.95040864624673,Flex
143787,1,Flex,>>,1434,131.96,464,390,588,72.44408376825658,34.42996988519573,106.87405365345231,-2.909376712661838,86.14129017370072,Flex
143802,2,Flex,>>,-1282,-102.68,460,389,588,72.44408376825658,34.42996988519573,106.87405365345231,-2.889470486132625,86.0602597640441,Flex
143816,3,Flex,>>,-2384,-199.38,456,382,582,72.50062703912312,34.501068292634486,107.0016953317576,-2.7479887444300513,85.40159927309557,Flex
143897,1,Flex,>>,1395,128.7,468,401,603,72.43000117263077,34.7745588344723,107.20456000710307,-3.123305265344833,86.83083195420795,Flex
143911,2,Flex,>>,-1346,-108.22,466,396,598,72.4671661795422,34.84945587965334,107.31662205919554,-3.02721045483855,86.5621290339059,Flex
143926,3,Flex,>>,-2450,-205.01,461,396,596,72.4671661795422,34.84945587965334,107.31662205919554,-3.02721045483855,86.5621290339059,Flex
144006,1,Flex,>>,1356,125.45,472,411,614,72.55124659151177,34.71268743659862,107.26393402811038,-3.309767682791098,87.16129820549321,Flex
144021,2,Flex,>>,-1410,-113.76,467,407,609,72.4846438119111,34.68626254277723,107.17090635468833,-3.2360990683832003,87.0608472845742,Flex
144036,3,Flex,>>,-2516,-210.81,468,408,608,72.4846438119111,34.68626254277723,107.17090635468833,-3.2546307660565006,87.08981893804304,Flex
144117,1,Flex,>>,1317,122.11,476,416,621,72.1127117453654,34.48284466124041,106.59555640660581,-3.4001352897310806,87.23080132429871,Flex
144131,2,Flex,>>,-1474,-119.47,472,420,626,72.1127117453654,34.48284466124041,106.59555640660581,-3.471054846427154,87.24389603612829,Flex
144146,3,Flex,>>,-2582,-216.79,471,423,628,71.94455402740729,34.36564902621308,106.31020305362037,-3.523442705449927,87.23015990874256,Flex
144227,1,Flex,>>,1278,118.95,476,436,644,71.43755946000329,34.25182010430661,105.68937956430989,-3.7425150389366735,86.9572132871849,Flex
144242,2,Flex,>>,-1538,-125.19,474,434,639,71.23156514695586,34.12766054487863,105.3592256918345,-3.709651592872026,87.02033428117664,Flex
144256,3,Flex,>>,-2648,-222.51,471,433,632,71.23156514695586,34.12766054487863,105.3592256918345,-3.693105325768377,87.04915215305212,Flex
144337,1,Flex,>>,1239,115.78,477,446,652,70.61558804380478,33.96945700712366,104.58504505092844,-3.9022505064068684,86.5389225370134,Flex
144352,2,Flex,>>,-1602,-130.73,473,445,649,70.30577323664251,33.94277414845314,104.24854738509565,-3.886620591873827,86.58801387077406,Flex
144366,3,Flex,>>,-2714,-228.92,477,446,647,70.30577323664251,33.94277414845314,104.24854738509565,-3.9022505064068684,86.5389225370134,Flex
144447,1,Flex,>>,1200,112.7,483,464,664,69.58847406558895,33.785434471183976,103.37390853677293,-4.17053094387045,85.42027521941239,Flex
144461,2,Flex,>>,-1666,-136.26,482,461,659,69.58847406558895,33.785434471183976,103.37390853677293,-4.127535698696409,85.63465312946673,Flex
144476,3,Flex,>>,-2780,-234.81,478,463,660,69.33356624137008,33.74962238246866,103.08318862383874,-4.15627555819332,85.49283843777178,Flex
144557,1,Flex,>>,1161,109.45,486,474,678,68.6874618887708,33.6741018995805,102.3615637883513,-4.308884851359788,84.63950834471055,Flex
144571,2,Flex,>>,-1730,-141.8,481,472,669,68.6874618887708,33.6741018995805,102.3615637883513,-4.281824971575659,84.80312771313638,Flex
144585,3,Flex,>>,-2846,-240.26,481,470,671,68.43415402709233,33.63920518885902,102.07335921595136,-4.254459640934662,84.96319684243309,Flex
144666,1,Flex,>>,1122,106.11,488,484,686,67.69858055837965,33.72502435568764,101.42360491406728,-4.439602487427393,83.77437692853644,Flex
144680,2,Flex,>>,-1794,-147.43,487,484,680,67.40165265235554,33.66693874009582,101.06859139245137,-4.439602487427393,83.77437692853644,Flex
144695,3,Flex,>>,-2912,-245.98,484,478,677,67.40165265235554,33.66693874009582,101.06859139245137,-4.3620882583574385,84.3023357206392,Flex
144775,1,Flex,>>,1083,102.95,495,490,690,66.85498800329806,33.67344486845433,100.52843287175239,-4.514367658785524,83.22388454345477,Flex
144790,2,Flex,>>,-1858,-153.05,492,490,689,66.61520786366756,33.638490666843175,100.25369853051075,-4.514367658785524,83.22388454345477,Flex
144805,3,Flex,>>,-2978,-251.69,490,487,687,66.61520786366756,33.638490666843175,100.25369853051075,-4.477328705320437,83.50166427836021,Flex
144885,1,Flex,>>,1044,99.6,499,499,697,65.63046404231159,33.51844255713837,99.14890659944996,-4.621360932613049,82.36562624313876,Flex
144900,2,Flex,>>,-1922,-158.42,499,496,695,65.63046404231159,33.51844255713837,99.14890659944996,-4.586383772431829,82.65532745441675,Flex
144914,3,Flex,>>,-3044,-257.41,497,495,688,65.3595441653771,33.47598457356292,98.83552873894001,-4.574571993609656,82.75115675012046,Flex
144995,1,Flex,>>,1005,96.44,505,502,700,64.68659889149107,33.397688939417165,98.08428783090824,-4.655650828366312,82.0730102328408,Flex
145009,2,Flex,>>,-1986,-163.78,502,497,694,64.33470201541411,33.19204333324247,97.52674534865658,-4.598119188539787,82.55911630260832,Flex
145024,3,Flex,>>,-3110,-263.03,501,498,692,64.33470201541411,33.19204333324247,97.52674534865658,-4.609778241933526,82.4625427795076,Flex
145104,1,Flex,>>,966,93.27,512,506,705,63.42765563101902,33.05331424481957,96.48096987583858,-4.70030161137162,81.67920556553969,Flex
145119,2,Flex,>>,-2050,-169.14,505,502,697,62.92615966587432,32.991197868399496,95.91735753427382,-4.655650828366312,82.0730102328408,Flex
145133,3,Flex,>>,-3176,-268.48,507,501,695,62.92615966587432,32.991197868399496,95.91735753427382,-4.644297225829441,82.17084092875191,Flex
145214,1,Flex,>>,927,90.29,515,510,709,61.62814779641553,32.78604054861359,94.41418834502912,-4.74373059094945,81.28231494722723,Flex
