Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,Frame,∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
85002,2,Flex,<<,180,8.44,371,298,551,2358,56.74459199872487,40.45636835474238,56.72791656787492,40.16725508238536
85114,2,Flex,<<,244,13.98,371,298,551,2361,55.32351693226781,39.730621006812015,55.50572622564404,39.566815514541474
85223,2,Flex,<<,308,19.34,370,300,552,2364,54.86805621798264,39.103168524203426,54.26501016795655,39.01166994008647
85333,2,Flex,<<,372,25.14,372,298,551,2368,52.43140797117252,38.072781873990834,52.80186627162058,37.60237407337609
85444,2,Flex,<<,436,30.77,370,298,552,2371,51.689397445344014,36.66116024018527,51.77522524684957,36.80155672387959
85555,2,Flex,<<,500,36.4,372,298,553,2374,51.03429466241985,36.19666196158349,50.810449312484565,36.226110582249845
85667,2,Flex,<<,564,42.02,371,299,550,2378,49.29585799851969,35.78014824470438,49.4046508066545,35.647835365105465
85778,2,Flex,<<,628,47.56,371,299,552,2381,48.38106885913922,34.646161854834304,48.37699962164842,35.074114956675075
85889,2,Flex,<<,692,53.27,372,299,550,2384,47.77385066240606,34.456977562830986,47.68120756951967,34.200047112739526
86000,2,Flex,<<,756,58.9,371,298,551,2388,47.03884223945883,33.30647227373527,46.72876382642163,33.518808232903346
86111,2,Flex,<<,820,64.53,371,298,551,2391,46.08732517299205,32.81063336045639,45.72311288454788,33.047097211427555
86222,2,Flex,<<,884,70.07,369,298,550,2394,44.927280430577554,31.96709795336625,44.8002681781515,32.32445060888375
86333,2,Flex,<<,948,75.78,371,298,551,2398,44.20613450797353,31.4182531637141,43.545712340339605,31.82204557975428
86445,2,Flex,<<,1012,81.32,370,298,550,2401,42.48844920778424,31.74906232106639,42.70439094298117,31.399427441582134
86556,2,Flex,<<,1076,87.03,372,299,549,2404,41.859260215486216,30.8412644054643,41.88337959814376,30.72305407781967
86667,2,Flex,<<,1140,92.57,371,299,550,2408,40.16915943270328,30.201599937159784,40.61389924040926,29.92485668898025
88044,5,Extend,>>,205,18.02,374,301,557,2449,33.907454626997975,24.706126661533233,33.93429117164902,24.884715768098225
88156,5,Extend,>>,161,18.02,372,300,549,2452,33.35639647001082,25.054546010681463,33.768252627870915,24.701852255907813
88267,5,Extend,>>,117,15.47,370,298,551,2456,33.35639647001082,25.068742189655836,33.947889026284116,24.440733779545496
88378,5,Extend,>>,73,11.69,372,299,551,2459,34.2576383889874,23.989119478323715,34.00162419530558,24.251740616822524
88490,5,Extend,>>,29,7.91,371,298,551,2462,33.907454626997975,24.339303240313086,33.85799037395116,24.352974964179932
88600,5,Extend,>>,-15,4.22,372,298,552,2466,34.051288951395975,24.195468915915086,34.14168579813124,24.312539199201552
88711,5,Extend,>>,-59,0.26,371,298,549,2469,34.2576383889874,23.989119478323715,34.191026585070375,24.100813033350995
88822,5,Extend,>>,-103,-3.6,371,298,551,2472,34.39969992884602,23.858893463913944,34.26159879979208,23.907577045031992
88933,5,Extend,>>,-147,-7.56,371,299,550,2476,33.84865014355711,24.195468915915086,34.195330293129764,23.98041383334308
89044,5,Extend,>>,-191,-11.52,371,298,551,2479,33.95519742497447,23.989119478323715,33.90559229817088,24.05985418802014
89155,5,Extend,>>,-235,-15.38,372,298,548,2482,33.40149354546702,24.339303240313086,33.860793823992076,24.100856180061562
89266,5,Extend,>>,-279,-19.08,371,298,549,2486,33.907454626997975,24.327618332143516,33.90385419419096,24.347350797327266
89376,5,Extend,>>,-323,-22.95,372,300,547,2489,33.907454626997975,24.339303240313086,34.05130029410563,24.0758344906044
89487,5,Extend,>>,-367,-26.81,371,298,544,2492,34.2576383889874,23.989119478323715,34.28451729566876,23.943432266873124
89598,5,Extend,>>,-411,-30.59,371,299,543,2496,34.45814168611048,24.34192729818122,34.17666557376165,24.45069842063934
89709,5,Extend,>>,-455,-34.55,371,299,540,2499,33.907454626997975,24.706126661533233,34.01859543094625,24.492099900418452
89820,5,Extend,>>,-499,-38.51,371,299,536,2502,33.605013662985044,24.706126661533233,34.11179988892875,24.12295372918672
89931,5,Extend,>>,-543,-42.29,371,297,531,2506,34.39969992884602,23.84705793846507,34.087950741354426,24.073688758503003
90042,5,Extend,>>,-587,-46.07,372,297,526,2509,33.70481581915908,24.339303240313086,34.10109818928089,24.024795663614587
90154,5,Extend,>>,-631,-49.93,371,299,520,2512,34.2576383889874,23.989119478323715,34.398072440563915,23.72903600225288
90265,5,Extend,>>,-675,-53.8,369,298,512,2516,34.2576383889874,23.989119478323715,34.24251412045059,23.82225608851887
90376,5,Extend,>>,-719,-57.58,368,298,499,2519,34.09255023871671,23.48008391230519,34.19102072923346,23.89926818325329
90488,5,Extend,>>,-763,-61.45,370,296,488,2522,34.051288951395975,24.207304441363988,33.9590272985652,24.118118552130365
90599,5,Extend,>>,-807,-65.23,369,297,473,2526,33.605013662985044,24.339303240313086,33.678459531737055,24.311479757557287
90710,5,Extend,>>,-851,-69.19,370,298,457,2529,34.051288951395975,24.207304441363988,33.92092190622149,24.271883220421962
90823,5,Extend,>>,-895,-73.05,370,299,444,2532,33.907454626997975,24.339303240313086,33.91672295489046,24.331305815425672
90934,5,Extend,>>,-939,-76.84,370,299,433,2536,33.35639647001082,24.687722589461345,33.802735603470126,24.368311197552103
91043,5,Extend,>>,-983,-80.7,369,298,427,2539,34.051288951395975,24.195468915915086,33.64330884079885,24.453421338211186
91155,5,Extend,>>,-1027,-84.48,369,297,398,2542,33.35639647001082,24.687722589461345,33.33756432442858,24.728497341885298
91265,5,Extend,>>,-1071,-88.26,371,298,388,2546,33.559035277849716,24.687722589461345,33.5063034264989,24.556807754278623
91377,5,Extend,>>,-1115,-92.31,369,297,383,2549,33.35639647001082,24.687722589461345,33.63705797887017,24.538493546564936
91488,5,Extend,>>,-1159,-96.09,370,298,380,2552,33.501973478620585,24.54214558085161,33.74445683598074,24.41165368453975
91600,5,Extend,>>,-1203,-99.96,369,298,380,2556,34.051288951395975,23.83796683205827,33.769348896131774,24.01543681858643
