Time(ms),SensorA0,SensorA1,SensorA2
200507,375,362,420
200588,375,357,415
200604,376,357,410
200619,372,354,410
200699,373,352,408
200715,371,349,404
200730,369,345,398
200811,367,341,394
200826,366,339,391
200841,366,338,388
200921,364,336,383
200937,362,334,382
200952,357,331,378
201033,359,330,377
201048,359,329,374
201062,356,327,374
201143,354,325,370
201158,353,325,371
201173,353,324,368
201255,350,326,371
201270,351,323,368
201285,347,322,366
201366,344,320,366
201382,345,319,364
201397,343,318,362
201478,338,314,359
201493,338,318,362
201509,334,312,358
201589,335,312,360
201605,334,310,359
201620,333,308,357
201701,330,306,360
201716,327,305,358
201732,325,302,356
201812,323,297,356
201828,323,296,355
201843,320,291,354
201924,321,290,357
201938,319,290,354
201954,313,288,353
202034,316,289,356
202050,312,285,352
202064,311,285,352
202146,311,285,354
202161,308,285,355
202176,308,281,350
202257,308,284,353
202272,306,283,355
202287,305,280,353
202368,307,280,353
202384,304,279,354
202399,302,278,352
202480,305,279,358
202495,301,280,355
202510,302,278,351
202591,302,276,355
202606,302,277,355
202622,301,274,352
202702,303,277,353
202717,301,276,353
202733,301,275,350
202814,303,276,351
202829,299,273,355
202843,298,271,351
202924,300,274,354
202939,301,273,354
202954,298,271,353
203035,300,271,354
203051,298,272,353
203066,298,270,352
203147,300,272,355
203162,298,271,353
203177,295,268,350
203259,297,270,352
203274,298,269,351
203289,294,268,352
203370,298,269,352
203386,299,269,350
203401,296,271,350
203482,297,266,349
203498,296,268,352
203512,294,267,350
203593,298,268,351
203609,297,269,351
203624,295,269,350
203704,297,266,352
203720,295,267,351
203735,292,264,348
203816,294,264,349
203831,294,265,351
203846,292,265,349
203926,295,265,352
203941,296,264,350
203956,294,263,347
204038,296,265,354
204053,299,265,352
204068,297,266,356
204149,302,270,359
204164,303,269,357
204179,306,275,359
204260,307,274,361
204276,306,273,361
204291,308,273,365
204372,308,274,364
204387,307,275,364
204402,308,274,365
204483,308,274,364
204498,309,273,363
204514,309,275,363
204595,307,274,365
204610,308,273,364
204624,308,274,364
204705,308,277,364
204721,309,275,365
204736,309,276,365
204817,308,275,363
204832,306,275,363
204847,306,274,363
204928,307,276,363
204944,308,275,363
204959,309,275,362
205040,310,276,363
205056,310,275,362
205071,308,275,360
205152,310,277,362
205168,310,276,362
205182,310,278,361
205263,308,278,361
205279,308,278,360
205294,310,276,360
205375,310,279,361
205390,309,278,360
205405,309,276,359
205486,311,279,360
205501,311,279,360
205516,310,280,358
205597,309,280,361
205612,310,279,360
205627,310,281,360
205708,310,283,361
205723,310,283,361
205739,309,280,360
205819,311,283,360
205834,310,282,359
205849,310,282,359
205931,310,283,360
205946,311,285,359
205961,312,285,358
206043,312,285,360
206058,313,285,360
206073,312,286,358
206153,316,282,361
206168,312,285,360
206183,313,286,360
206263,316,287,360
206279,314,289,359
