Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
19184,1,Flex,<<,576,59.43,611,546,747,32.69996465208752,65.31800000000001,-3.005999999999986,0
19294,1,Flex,<<,615,58.9,613,547,754,32.58688761539758,62.822,-2.4960000000000093,0
19405,1,Flex,<<,654,58.9,627,559,772,32.66049588696017,60.94,-1.882000000000005,0
19515,1,Flex,<<,693,58.99,626,558,771,32.459809390624045,59.69199999999999,-1.2480000000000047,0
19625,1,Flex,<<,732,61.1,624,558,769,32.54557981748083,59.464,-0.22799999999999443,0
43282,1,Flex,>>,2760,247.74,393,355,523,50.05730198266964,253.152,-0.7720000000000482,1
43393,1,Flex,>>,2721,244.4,392,356,527,51.46211035277099,250.762,-2.3899999999999864,1
43503,1,Flex,>>,2682,241.05,395,356,524,52.14767829463136,247.702,-3.0600000000000023,1
43613,1,Flex,>>,2643,237.71,395,357,524,52.97965996296814,244.39600000000002,-3.305999999999983,1
43723,1,Flex,>>,2604,234.46,398,355,524,54.5452027372211,241.07200000000003,-3.323999999999984,1
43832,1,Flex,>>,2565,231.03,399,357,523,55.60873268107285,237.73000000000002,-3.342000000000013,1
43942,1,Flex,>>,2526,227.78,402,355,523,56.24677042011933,234.406,-3.3240000000000123,1
44051,1,Flex,>>,2487,224.53,403,357,523,57.10548093244428,231.102,-3.304000000000002,1
44162,1,Flex,>>,2448,221.19,405,355,524,57.629486878683096,227.798,-3.304000000000002,1
44272,1,Flex,>>,2409,217.85,408,358,522,57.504957719268376,224.47600000000003,-3.3219999999999743,1
44381,1,Flex,>>,2370,214.42,409,354,521,57.36653220212902,221.154,-3.322000000000031,1
44491,1,Flex,>>,2331,211.16,413,356,523,57.57314390680021,217.83,-3.323999999999984,1
44601,1,Flex,>>,2292,207.65,421,353,522,57.62224376739323,214.454,-3.3760000000000048,1
44710,1,Flex,>>,2253,204.31,430,354,523,57.9624880082858,211.07800000000003,-3.3759999999999764,1
44820,1,Flex,>>,2214,200.97,437,352,521,58.03293598491095,207.702,-3.376000000000033,1
44930,1,Flex,>>,2175,197.63,440,352,521,57.92128250577085,204.344,-3.358000000000004,1
45040,1,Flex,>>,2136,194.2,456,351,527,57.85841686510622,200.952,-3.391999999999996,1
45151,1,Flex,>>,2097,190.51,466,349,528,57.89083106804053,197.52399999999997,-3.4280000000000257,1
45261,1,Flex,>>,2058,187.16,467,348,529,57.84316150598487,194.094,-3.4299999999999784,1
45371,1,Flex,>>,2019,183.82,467,349,531,57.51890837028583,190.664,-3.430000000000007,1
