Time(ms),SensorA0,SensorA1,SensorA2
55340,374,300,577
55354,373,297,574
55368,371,298,575
55449,374,300,578
55464,371,297,575
55478,371,297,576
55558,371,299,578
55573,371,297,573
55588,370,296,572
55668,373,299,578
55683,372,298,573
55697,370,297,575
55778,374,300,578
55792,372,298,574
55807,370,296,573
55887,373,299,578
55902,371,299,576
55916,371,297,573
55997,373,299,576
56012,371,298,576
56026,370,297,574
56107,373,299,577
56121,371,297,574
56136,369,297,575
57483,376,301,578
57498,374,301,579
57512,374,301,579
57592,374,300,577
57607,372,298,575
57621,372,298,573
57702,372,299,575
57716,372,299,574
57731,370,298,576
57811,372,299,574
57826,374,299,573
57840,371,297,572
57921,372,300,573
57935,372,299,575
57950,372,299,574
58030,373,300,577
58045,372,299,575
58059,373,298,571
58140,372,299,575
58155,374,298,574
58170,372,298,572
58250,373,298,574
58265,372,298,573
58279,372,299,573
58360,373,299,575
58374,372,299,572
58389,373,299,570
58469,374,300,571
58484,372,298,570
58498,371,297,570
58579,373,299,569
58594,372,299,571
58608,371,298,571
58689,374,300,570
58703,371,298,570
58718,370,298,568
58798,373,300,568
58813,372,297,567
58827,373,298,564
58908,373,296,565
58923,371,300,564
58938,372,298,561
59019,372,298,563
59033,372,298,561
59048,372,299,559
59128,373,299,560
59143,372,298,559
59157,369,297,556
59237,372,298,556
59252,370,298,555
59267,371,299,553
59347,371,298,553
59362,371,297,552
59376,371,297,552
59456,372,299,549
59471,372,298,548
59486,371,297,549
59566,373,297,542
59580,370,298,540
59595,368,295,538
59675,371,298,531
59690,371,298,531
59705,370,297,530
59786,370,299,524
59800,371,297,523
59815,369,296,516
59895,371,298,507
59910,369,297,504
59924,366,296,500
60005,370,298,489
60020,370,298,485
60034,368,296,480
60115,370,296,470
60129,370,297,469
60144,368,295,464
60224,371,298,463
60239,370,297,463
60253,366,295,458
60334,371,296,451
60349,370,297,451
60363,368,296,445
60444,372,297,448
60458,371,297,446
60473,369,295,440
60554,371,298,433
60569,371,297,430
60583,369,296,429
60664,372,298,422
60679,370,298,419
60694,367,295,416
60775,370,298,408
60790,371,298,405
60804,368,295,402
60885,371,297,398
60900,371,298,399
60914,369,297,396
60995,370,297,394
61009,369,296,392
61024,370,296,391
61106,370,296,388
61121,369,297,389
61135,369,295,386
61216,371,295,384
61231,369,296,383
61245,368,296,381
61326,371,297,380
61340,369,296,381
61355,369,293,375
61435,371,297,377
61450,370,295,376
61464,368,295,379
61545,369,296,373
61560,369,296,375
61574,368,294,373
61655,369,295,374
61670,369,294,373
61685,366,293,369
61767,370,294,373
61781,370,294,369
61796,367,292,371
61876,370,293,372
61891,369,293,370
61906,365,291,368
61986,369,295,370
62001,370,290,372
62016,367,291,369
62097,370,291,368
62111,370,290,367
62126,369,287,363
62206,371,289,367
62221,369,287,366
62235,366,286,364
62316,369,285,365
62330,370,284,364
62345,368,284,362
62426,369,281,364
62440,369,283,365
62455,366,280,363
62535,370,282,364
62551,370,280,363
62566,365,278,361
62647,369,280,362
62661,366,277,363
62676,367,275,359
62757,370,280,363
62772,369,277,359
62786,363,274,358
62867,368,277,362
62882,366,274,361
62896,363,273,357
62977,369,278,361
62992,368,276,361
63007,362,273,357
63087,364,275,359
63102,365,274,358
63116,363,272,360
63197,367,276,362
63211,363,273,359
63226,362,270,356
63307,365,273,359
63322,364,272,360
63337,363,272,359
63417,363,275,361
63432,363,274,360
63447,363,272,359
63527,364,274,362
63542,364,273,360
63556,359,268,356
63637,362,271,359
63651,360,271,360
63666,358,270,360
63747,362,272,366
63762,362,271,358
63777,357,269,358
63858,359,270,360
63873,359,271,361
63888,355,267,357
63968,360,272,363
63983,360,271,359
63997,355,269,361
64078,355,269,363
64092,355,269,362
64107,352,266,359
64188,358,272,364
64203,359,271,361
64217,358,271,364
64298,358,272,364
64312,358,272,365
64327,365,274,367
64408,363,274,369
64422,361,273,367
64437,365,275,370
64517,366,277,370
64532,367,275,369
64547,368,277,370
64627,369,277,369
64642,368,275,369
64656,368,276,368
64737,370,276,368
64752,370,277,370
64767,370,275,369
64847,370,278,370
64862,372,275,369
64876,370,276,368
64957,373,277,369
64971,373,277,369
64986,373,277,366
65067,373,277,367
65081,372,277,366
65095,374,277,364
65176,375,279,366
65191,375,278,365
65205,373,278,365
65286,375,279,361
65300,376,279,365
65315,374,278,361
65395,376,280,364
65410,376,279,364
65425,376,281,365
65505,377,281,364
65520,375,280,362
65534,377,280,364
65615,379,282,365
65630,377,281,364
65644,377,281,364
65725,379,282,363
65739,377,282,362
65754,377,279,361
65835,378,282,361
65849,377,283,361
65864,378,283,361
65945,379,284,362
65960,379,283,360
65974,378,282,360
66055,380,284,362
66069,379,284,360
66084,378,283,360
66164,378,282,360
66179,379,283,359
66193,377,284,360
66274,379,284,360
66289,377,283,360
66303,378,284,358
66384,379,284,359
66398,380,287,360
66413,378,283,359
66493,379,284,361
66508,378,283,360
66522,377,284,359
66603,379,284,362
66618,378,284,361
66632,377,282,359
66713,379,285,362
66728,378,285,362
66742,378,285,362
66823,380,285,363
66838,380,285,361
66853,379,284,364
66934,380,287,367
66949,379,284,367
66964,379,284,365
67045,380,285,365
67061,380,285,367
67076,380,286,366
67157,380,285,367
67173,379,287,368
67188,379,285,366
67269,381,286,370
67284,381,287,370
67299,380,284,370
67380,381,286,374
67395,380,286,374
67410,380,284,372
67491,380,287,373
67506,380,286,373
67521,380,285,373
67603,381,286,375
67617,381,287,376
67633,378,285,376
67713,380,286,382
67729,379,286,381
67744,382,286,381
67825,381,288,382
67840,381,286,380
67856,379,285,381
67938,380,286,381
67953,380,286,383
67967,380,285,383
68048,381,287,390
68063,382,287,390
68078,381,286,387
68159,381,287,400
68174,381,286,398
68189,378,286,401
68271,380,287,408
68286,379,286,407
68301,378,286,408
68382,378,287,414
68397,379,286,415
68413,378,286,416
68494,379,288,434
68509,378,287,434
68525,378,287,436
68606,379,288,446
