Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
62676,6,Extend,>>,-1203,-93.63,367,275,359,35.06323687870777,23.8811432381614,58.94438011686917,-3.5089371700942875,50.007408727758566,Extend
62757,4,Extend,>>,-692,-54.59,370,280,363,35.065538502344864,23.765520678616404,58.83105918096127,-3.4399455952663325,50.97604408402891,Extend
62772,5,Extend,>>,-1907,-161.05,369,277,359,35.065538502344864,23.765520678616404,58.83105918096127,-3.5089371700942875,50.007408727758566,Extend
62786,6,Extend,>>,-1251,-97.85,363,274,358,35.17898188766306,23.69207330440697,58.87105519207003,-3.526220632568316,49.75952712121618,Extend
62867,4,Extend,>>,-737,-58.46,368,277,362,35.335299750221104,23.57549416952233,58.91079391974343,-3.457172147713097,50.737308585882126,Extend
62882,5,Extend,>>,-1951,-164.75,366,274,361,35.3099466390844,23.595716611455053,58.905663250539455,-3.474412927666678,50.49629429818226,Extend
62896,6,Extend,>>,-1299,-101.89,363,273,357,35.3099466390844,23.595716611455053,58.905663250539455,-3.5435183225491604,49.50934607748364,Extend
62977,4,Extend,>>,-782,-62.33,369,278,361,35.10579367904623,23.240979798184277,58.346773477230506,-3.474412927666678,50.49629429818226,Extend
62992,5,Extend,>>,-1995,-168.53,368,276,361,35.10579367904623,23.240979798184277,58.346773477230506,-3.474412927666678,50.49629429818226,Extend
63007,6,Extend,>>,-1347,-106.11,362,273,357,35.10579367904623,23.240979798184277,58.346773477230506,-3.5435183225491604,49.50934607748364,Extend
63087,4,Extend,>>,-827,-66.11,364,275,359,35.26357328461679,22.550246397387745,57.813819682004535,-3.5089371700942875,50.007408727758566,Extend
63102,5,Extend,>>,-2039,-172.4,365,274,358,35.26357328461679,22.550246397387745,57.813819682004535,-3.526220632568316,49.75952712121618,Extend
63116,6,Extend,>>,-1395,-109.98,363,272,360,35.39047125132268,22.2010250131122,57.59149626443488,-3.4916679351270745,50.25299606540176,Extend
63197,4,Extend,>>,-872,-69.89,367,276,362,35.47874685848052,21.719532990949,57.19827984942952,-3.457172147713097,50.737308585882126,Extend
63211,5,Extend,>>,-2083,-176.18,363,273,359,35.342027156919315,21.75099184528305,57.09301900220237,-3.5089371700942875,50.007408727758566,Extend
63226,6,Extend,>>,-1443,-114.02,362,270,356,35.342027156919315,21.75099184528305,57.09301900220237,-3.560830240036821,49.25686042401549,Extend
63307,4,Extend,>>,-917,-73.67,365,273,359,35.00186231576125,21.6557069320271,56.65756924778835,-3.5089371700942875,50.007408727758566,Extend
63322,5,Extend,>>,-2127,-180.13,364,272,360,34.82088487396191,21.579645827454783,56.40053070141669,-3.4916679351270745,50.25299606540176,Extend
63337,6,Extend,>>,-1491,-117.98,363,272,359,34.82088487396191,21.579645827454783,56.40053070141669,-3.5089371700942875,50.007408727758566,Extend
63417,4,Extend,>>,-962,-77.71,363,275,361,34.44722178535565,20.94814457745914,55.39536636281479,-3.474412927666678,50.49629429818226,Extend
63432,5,Extend,>>,-2171,-183.82,363,274,360,34.44722178535565,20.94814457745914,55.39536636281479,-3.4916679351270745,50.25299606540176,Extend
63447,6,Extend,>>,-1539,-121.85,363,272,359,34.41025075793069,20.636848775979985,55.047099533910675,-3.5089371700942875,50.007408727758566,Extend
63527,4,Extend,>>,-1007,-81.58,364,274,362,34.286344682491794,19.918850262003577,54.205194944495375,-3.457172147713097,50.737308585882126,Extend
63542,5,Extend,>>,-2215,-187.52,364,273,360,34.286344682491794,19.918850262003577,54.205194944495375,-3.4916679351270745,50.25299606540176,Extend
63556,6,Extend,>>,-1587,-125.8,359,268,356,34.10122347026778,19.644650989908936,53.74587446017672,-3.560830240036821,49.25686042401549,Extend
63637,4,Extend,>>,-1052,-85.45,362,271,359,33.58676053644747,18.96196856327497,52.548729099722436,-3.5089371700942875,50.007408727758566,Extend
63651,5,Extend,>>,-2259,-191.21,360,271,360,33.20207854303512,18.71969635158959,51.92177489462471,-3.4916679351270745,50.25299606540176,Extend
63666,6,Extend,>>,-1635,-129.49,358,270,360,33.20207854303512,18.71969635158959,51.92177489462471,-3.4916679351270745,50.25299606540176,Extend
63747,4,Extend,>>,-1097,-88.97,362,272,366,31.807472693498184,17.751981417209763,49.55945411070795,-3.388351302966934,51.67862933260966,Extend
63762,5,Extend,>>,-2303,-195.08,362,271,358,31.807472693498184,17.751981417209763,49.55945411070795,-3.526220632568316,49.75952712121618,Extend
63777,6,Extend,>>,-1683,-133.71,357,269,358,31.25622771504413,17.343551434232555,48.599779149276685,-3.526220632568316,49.75952712121618,Extend
63858,4,Extend,>>,-1142,-92.75,359,270,360,29.95010785654448,16.298035600001207,46.24814345654569,-3.4916679351270745,50.25299606540176,Extend
63873,5,Extend,>>,-2347,-199.03,359,271,361,29.95010785654448,16.298035600001207,46.24814345654569,-3.474412927666678,50.49629429818226,Extend
