Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
122515,4,Extend,>>,-68,2.11,393,344,462,-3.873570818305721,9.687999999999999,-3.798000000000002,0.16908749793321062,3,-2.0056974698068437
122628,4,Extend,>>,-113,-1.76,387,338,456,-2.9027022187584848,5.872,-3.815999999999999,0.10248573367710703,3,-2.072299234062947
122743,4,Extend,>>,-158,-5.36,379,334,446,-2.0824398747635096,2.1100000000000003,-3.7619999999999996,0.03682644721708036,3,-2.137958520522974
122857,4,Extend,>>,-203,-9.14,374,329,438,-0.9027198593388788,-1.634,-3.744,-0.028518679977587343,3,-2.2033036477176413
122970,4,Extend,>>,-248,-13.1,361,325,434,0.0662051516465579,-5.45,-3.8160000000000003,-0.09512044423369097,3,-2.269905411973745
123083,4,Extend,>>,-293,-16.88,349,318,433,1.2348101379955618,-9.248,-3.797999999999999,-0.16140804922443558,3,-2.3361930169644896
123195,4,Extend,>>,-338,-20.66,339,315,428,2.1033284770647724,-13.028,-3.780000000000001,-0.22738149494982127,3,-2.4021664626898755
123306,4,Extend,>>,-383,-24.44,332,312,423,2.7745031641118003,-16.844,-3.8160000000000007,-0.2939832592059249,3,-2.468768226945979
123421,4,Extend,>>,-428,-28.22,327,309,410,3.453286048470071,-20.66,-3.815999999999999,-0.3605850234620285,3,-2.5353699912020824
123535,4,Extend,>>,-473,-31.82,323,299,397,4.0054955893531385,-24.404,-3.7439999999999998,-0.4259301506566962,3,-2.6007151183967503
123650,4,Extend,>>,-518,-35.52,321,294,387,4.76576283222796,-28.131999999999998,-3.727999999999998,-0.49099602517104474,3,-2.665780992911099
123764,4,Extend,>>,-563,-39.38,314,286,382,5.479730950733032,-31.875999999999998,-3.7439999999999998,-0.5563411523657125,3,-2.731126120105767
123878,4,Extend,>>,-608,-43.08,313,282,375,6.40842983575496,-35.604,-3.7280000000000015,-0.6214070268800611,3,-2.7961919946201155
123992,4,Extend,>>,-653,-46.95,305,282,374,7.93223690467177,-39.35,-3.746000000000002,-0.6867870606597687,3,-2.8615720283998227
124106,4,Extend,>>,-698,-50.99,306,284,373,8.92731420857666,-43.184000000000005,-3.834000000000003,-0.7537029841812314,3,-2.9284879519212854
124222,4,Extend,>>,-743,-54.95,304,281,371,9.9808088124205,-47.07000000000001,-3.886000000000003,-0.8215264789137311,3,-2.9963114466537855
124336,4,Extend,>>,-788,-58.73,302,280,371,10.51999060392733,-50.940000000000005,-3.8699999999999974,-0.8890707209659116,3,-3.063855688705966
124449,4,Extend,>>,-833,-62.33,302,277,373,10.935519161759744,-54.79,-3.8499999999999943,-0.9562658971676932,3,-3.1310508649077473
124563,4,Extend,>>,-878,-66.11,299,277,372,11.13659620301193,-58.622,-3.8320000000000007,-1.0231469141041158,3,-3.1979318818441698
124677,4,Extend,>>,-923,-69.8,299,273,372,11.5775855745717,-62.384,-3.7620000000000005,-1.0888062005641426,3,-3.2635911683041967
124791,4,Extend,>>,-968,-73.41,298,272,372,11.815671967942093,-66.076,-3.691999999999993,-1.1532437565477731,3,-3.3280287242878273
124906,4,Extend,>>,-1013,-77.36,296,269,370,11.924185458507662,-69.80199999999999,-3.725999999999999,-1.2182747244770817,3,-3.393059692217136
125019,4,Extend,>>,-1058,-81.05,296,267,370,12.206251787361776,-73.546,-3.744000000000014,-1.2836198516717496,3,-3.458404819411804
125133,4,Extend,>>,-1103,-84.84,297,267,370,12.262562034685624,-77.292,-3.745999999999995,-1.3489998854514573,3,-3.5237848531915112
125248,4,Extend,>>,-1148,-88.44,296,268,372,12.139287795230516,-81.02,-3.7279999999999944,-1.4140657599658057,3,-3.58885072770586
125361,4,Extend,>>,-1193,-92.04,298,268,370,12.610909228301589,-84.74600000000001,-3.7260000000000133,-1.4790967278951146,3,-3.6538816956351687
125473,4,Extend,>>,-1238,-96.0,296,265,371,12.95625147346189,-88.474,-3.7279999999999944,-1.5441626024094632,3,-3.7189475701495174
125587,4,Extend,<<,-1238,-99.52,298,266,374,12.920953281154045,-92.16799999999999,-3.6939999999999884,-1.6086350649781336,3,-3.7834200327181877
125702,4,Extend,<<,-1193,-100.92,302,271,378,12.690742395618926,-95.384,-3.216000000000008,-1.6647648537222712,3,-3.8395498214623256
125813,4,Extend,<<,-1148,-100.92,308,274,383,12.754599419678115,-97.88000000000001,-2.4960000000000093,-1.7083282718520498,3,-3.883113239592104
125928,4,Extend,<<,-1103,-100.66,309,276,383,12.87225381202848,-99.604,-1.7239999999999895,-1.738417748156432,3,-3.913202715896486
126040,4,Extend,<<,-1058,-97.14,311,276,384,12.85309506530768,-99.832,-0.22799999999999443,-1.742397098850979,3,-3.917182066591033
150268,4,Extend,>>,1281,118.07,476,401,601,4.631068118427686,124.52000000000001,-1.0179999999999723,2.1732839845833394,4,0.0
150380,4,Extend,>>,1236,114.02,475,400,602,3.765511555699617,121.636,-2.8840000000000146,2.1229486889558227,4,-0.05033529562751671
150493,4,Extend,>>,1191,110.15,474,400,599,1.7110669989036198,117.96,-3.676000000000002,2.058790385652511,4,-0.11449359893082844
150606,4,Extend,>>,1146,106.2,475,402,600,-0.5520738285674522,114.05799999999999,-3.902000000000001,1.9906876382396923,4,-0.18259634634364708
150720,4,Extend,>>,1101,102.33,475,402,601,-3.612737226469118,110.154,-3.9039999999999964,1.9225499842418337,4,-0.2507340003415057
150833,4,Extend,>>,1056,98.55,476,400,598,-5.655106305910768,106.25,-3.9039999999999964,1.8544123302439752,4,-0.31887165433936415
150947,4,Extend,>>,1011,94.51,472,400,598,-7.485807940193268,102.348,-3.902000000000001,1.7863095828311564,4,-0.386974401752183
151058,4,Extend,>>,966,90.55,474,401,597,-10.217692777556278,98.428,-3.9200000000000017,1.7178926761529787,4,-0.4553913084303607
151169,4,Extend,>>,921,86.68,474,402,594,-12.342397805102475,94.52399999999999,-3.9040000000000106,1.6497550221551198,4,-0.5235289624282196
151280,4,Extend,>>,876,82.9,473,398,594,-14.32839668099346,90.638,-3.8859999999999815,1.5819315274226204,4,-0.5913524571607189
151391,4,Extend,>>,831,78.95,475,396,591,-16.44483317542666,86.71799999999999,-3.920000000000016,1.5135146207444425,4,-0.6597693638388968
151502,4,Extend,>>,786,75.08,474,395,588,-17.299757213616473,82.832,-3.8859999999999957,1.445691126011943,4,-0.7275928585713964
151613,4,Extend,>>,741,71.21,474,394,583,-17.86155610351171,78.96399999999998,-3.868000000000009,1.3781817905448022,4,-0.7951021940385372
