Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle
95764,5,Extend,>>,-719,-57.32,410,393,525,14.630561549051354,7.260758328142135,21.89131987719349,-49.688,-3.834000000000003,2
95875,5,Extend,>>,-763,-61.1,400,390,517,12.564521935124985,6.219375033837886,18.78389696896287,-53.522000000000006,-3.834000000000003,2
95985,5,Extend,>>,-807,-64.88,394,392,511,10.205393421910696,4.717916038129816,14.923309460040512,-57.338,-3.8159999999999954,2
96095,5,Extend,>>,-851,-68.75,386,387,506,8.932553120815125,3.779519854295561,12.712072975110686,-61.136,-3.798000000000002,2
96204,5,Extend,>>,-895,-72.53,389,389,499,7.912866364998287,2.808518537792674,10.72138490279096,-64.916,-3.779999999999994,2
96314,5,Extend,>>,-939,-76.31,383,385,492,6.653447742393758,2.216335327933592,8.86978307032735,-68.714,-3.798000000000002,2
96423,5,Extend,>>,-983,-80.09,377,379,478,5.902744678041751,1.8713866860995827,7.774131364141334,-72.512,-3.798000000000002,2
96533,5,Extend,>>,-1027,-83.78,375,374,465,5.128069012532247,1.1287415854821554,6.256810598014402,-76.292,-3.780000000000001,2
96644,5,Extend,>>,-1071,-87.56,371,367,454,4.08760472627953,0.5134304517680055,4.601035178047535,-80.054,-3.7620000000000005,2
96754,5,Extend,>>,-1115,-91.43,365,358,442,3.5476579573142493,0.0777666498050766,3.6254246071193257,-83.834,-3.780000000000001,2
96864,5,Extend,>>,-1159,-95.3,360,354,431,3.0669806171027627,-0.5717751069571302,2.4952055101456327,-87.632,-3.798000000000002,2
96974,5,Extend,>>,-1203,-99.08,356,346,418,2.324891316526833,-0.7255861674438691,1.5993051490829637,-91.42999999999999,-3.7979999999999876,2
97083,5,Extend,>>,-1247,-102.68,346,341,409,1.8132096918473544,-1.1958167446262178,0.6173929472211366,-95.21000000000001,-3.7800000000000153,2
97193,5,Extend,>>,-1291,-106.37,341,338,400,1.5318150484426285,-1.6722541527507064,-0.14043910430807793,-98.97200000000001,-3.7620000000000005,2
97303,5,Extend,>>,-1335,-110.24,335,336,393,0.8971371745662992,-1.8792382078111287,-0.9821010332448296,-102.73400000000001,-3.7620000000000005,2
97413,5,Extend,>>,-1379,-114.11,331,330,387,0.3111061464477839,-2.567637235760151,-2.256531089312367,-106.49600000000001,-3.7620000000000005,2
97524,5,Extend,>>,-1423,-117.98,326,327,385,-0.0919816891239631,-3.124761523411024,-3.216743212534987,-110.276,-3.779999999999987,2
97633,5,Extend,>>,-1467,-121.67,322,318,382,-0.5980412338207309,-3.577893918105936,-4.175935151926667,-114.074,-3.798000000000002,2
97744,5,Extend,>>,-1511,-125.45,319,316,375,-0.6763350965044974,-4.090671659306213,-4.76700675581071,-117.89000000000001,-3.8160000000000167,2
97855,5,Extend,>>,-1555,-129.14,317,307,371,-0.7458251269548998,-4.481759111791164,-5.227584238746064,-121.67,-3.779999999999987,2
97965,5,Extend,>>,-1599,-133.01,312,303,368,-0.9313226046960624,-4.5425526775755225,-5.473875282271585,-125.45,-3.780000000000001,2
98077,5,Extend,>>,-1643,-136.97,311,296,370,-0.94035480679987,-4.792552487531466,-5.732907294331335,-129.248,-3.7979999999999876,2
98188,5,Extend,>>,-1687,-140.75,308,288,367,-0.1424713596105639,-4.83272506707997,-4.975196426690534,-133.064,-3.8160000000000025,2
98299,5,Extend,>>,-1731,-144.7,308,281,365,0.1395393179327195,-4.596315418664752,-4.456776100732033,-136.914,-3.8499999999999943,2
98410,5,Extend,>>,-1775,-148.48,307,282,366,-0.2019328570433799,-4.036226175098157,-4.238159032141537,-140.78199999999998,-3.867999999999995,2
98522,5,Extend,>>,-1819,-152.35,306,279,367,0.2333498579531064,-3.496651852333498,-3.2633019943803916,-144.65,-3.8680000000000234,2
98633,5,Extend,>>,-1863,-156.13,305,276,367,0.7775210264025221,-3.3096166562898994,-2.5320956298873774,-148.48199999999997,-3.831999999999965,2
98745,5,Extend,>>,-1907,-160.0,305,274,364,1.5885540885876266,-3.15282462176822,-1.5642705331805933,-152.33199999999997,-3.8499999999999943,2
98856,5,Extend,>>,-1951,-163.69,304,272,366,1.9420579599340324,-2.6882582154767345,-0.7462002555427021,-156.13,-3.7980000000000302,2
98967,5,Extend,>>,-1995,-167.3,301,273,369,2.660489282513113,-2.441105729740824,0.21938355277228894,-159.894,-3.76400000000001,2
