Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
160223,5,Extend,>>,-2171,-182.24,297,266,361,8.996338413059249,-0.7895459985701507,8.206792414489097,-174.804,-3.710000000000008,4,-3.4540125520654565,10.30123135645833
160334,5,Extend,>>,-2215,-185.85,296,267,359,10.278057543856864,-0.4161160797875275,9.861941464069336,-178.498,-3.6939999999999884,4,-3.4310621201213247,9.763469815408705
160444,5,Extend,>>,-2259,-189.54,297,267,359,12.47364271927269,0.4574476360501673,12.931090355322857,-182.19,-3.6920000000000073,4,-3.4310621201213247,9.763469815408705
160555,5,Extend,>>,-2303,-192.97,294,264,358,14.386599779280267,1.2905170804910269,15.677116859771294,-185.82999999999998,-3.6399999999999864,4,-3.499982892093321,11.418129212657622
160665,5,Extend,>>,-2347,-196.84,294,264,358,15.84418443629246,2.0438869112491136,17.888071347541572,-189.488,-3.6580000000000155,4,-3.499982892093321,11.418129212657622
160775,5,Extend,>>,-2391,-200.62,296,264,359,16.726829761987165,2.5841103670763608,19.310940129063525,-193.16400000000002,-3.676000000000016,4,-3.499982892093321,11.418129212657622
160885,5,Extend,>>,-2435,-204.4,297,262,360,17.898952331042526,3.0770757446746044,20.97602807571713,-196.874,-3.7099999999999795,4,-3.5460458669739867,12.590460615812631
160995,5,Extend,<<,-2435,-208.0,303,265,365,18.794759012057845,3.555126761341452,22.349885773399297,-200.566,-3.6920000000000073,4,-3.476986142722789,10.852771139892596
161105,5,Extend,<<,-2391,-209.23,304,270,372,19.43884063808124,4.040759432684601,23.47960007076584,-203.818,-3.2520000000000095,4,-3.3623497765681303,8.232454782651384
161216,5,Extend,<<,-2347,-209.23,307,273,374,20.59721151179781,4.723405853379448,25.320617365177256,-206.296,-2.47799999999998,4,-3.2938458614337374,6.824006116782164
161326,5,Extend,<<,-2303,-206.51,309,273,376,21.33202896509458,5.222909622058901,26.55493858715348,-207.474,-1.1779999999999973,4,-3.2938458614337374,6.824006116782164
185092,5,Extend,>>,29,7.91,404,389,553,43.37673218189046,24.32307397489649,67.69980615678695,14.222,-1.0020000000000007,5,-0.8048692480784911,35.50643269005963
185203,5,Extend,>>,-15,4.22,403,387,550,43.32820590151313,24.095839098749973,67.4240450002631,11.462,-2.76,5,-0.845142544659101,33.805165319353065
185313,5,Extend,>>,-59,0.35,404,390,554,42.520157401017954,24.078472986798744,66.5986303878167,7.928,-3.534,5,-0.7847673378579869,36.37082440656203
185424,5,Extend,>>,-103,-3.6,404,391,544,41.52577401920068,23.74943826552821,65.2752122847289,4.113999999999999,-3.814000000000001,5,-0.7646885863506823,37.244341408894094
185534,5,Extend,>>,-147,-7.47,404,389,549,40.64276600970607,23.466013482049213,64.10877949175529,0.28200000000000003,-3.831999999999999,5,-0.8048692480784911,35.50643269005963
185644,5,Extend,>>,-191,-11.34,402,388,550,39.98899737724886,22.483376532907734,62.47237391015659,-3.568,-3.85,5,-0.8249943170121958,34.6512013004968
185753,5,Extend,>>,-235,-15.21,401,387,548,39.05993652945365,21.55983013834545,60.6197666677991,-7.453999999999999,-3.885999999999999,5,-0.845142544659101,33.805165319353065
185863,5,Extend,>>,-279,-18.9,401,388,547,37.98932150657812,20.825762730078228,58.81508423665635,-11.303999999999998,-3.8499999999999996,5,-0.8249943170121958,34.6512013004968
185973,5,Extend,>>,-323,-22.68,401,387,546,37.15419549636617,20.40651500367033,57.5607105000365,-15.12,-3.8160000000000007,5,-0.845142544659101,33.805165319353065
186083,5,Extend,>>,-367,-26.55,402,388,544,36.35132085896442,19.255924088664752,55.60724494762917,-18.936,-3.8160000000000007,5,-0.8249943170121958,34.6512013004968
186193,5,Extend,>>,-411,-30.42,402,386,543,35.28405859439582,18.695185881425623,53.979244475821446,-22.752,-3.815999999999999,5,-0.8653139310192066,32.96835986847765
186303,5,Extend,>>,-455,-34.29,400,388,539,34.35476299559061,18.005179630836082,52.359942626426694,-26.568,-3.8160000000000025,5,-0.8249943170121958,34.6512013004968
186413,5,Extend,>>,-499,-38.15,399,387,539,32.48952715240011,17.157934791081733,49.647461943481844,-30.418,-3.849999999999998,5,-0.845142544659101,33.805165319353065
186524,5,Extend,>>,-543,-41.93,399,388,537,30.728766257575536,16.318496222461437,47.04726248003698,-34.267999999999994,-3.8499999999999943,5,-0.8249943170121958,34.6512013004968
186635,5,Extend,>>,-587,-45.8,398,384,532,28.64512909420652,14.930367446470166,43.57549654067669,-38.118,-3.8500000000000085,5,-0.9057261798790175,31.322581246776856
186744,5,Extend,>>,-631,-49.76,400,386,532,24.7035247921695,12.331090245427774,37.03461503759728,-41.986,-3.867999999999995,5,-0.8653139310192066,32.96835986847765
186855,5,Extend,>>,-675,-53.63,396,386,526,21.719385773493045,10.353151535152708,32.07253730864575,-45.854,-3.868000000000002,5,-0.8653139310192066,32.96835986847765
186965,5,Extend,>>,-719,-57.32,395,385,527,18.89664342413912,8.840832607904055,27.737476032043176,-49.688,-3.834000000000003,5,-0.8855084760925123,32.14082011008941
187074,5,Extend,>>,-763,-61.1,394,383,521,16.861291493465636,7.056230479784368,23.917521973250004,-53.522000000000006,-3.834000000000003,5,-0.9259670423787241,30.51367852149809
187184,5,Extend,>>,-807,-64.79,390,384,515,14.752926872841066,5.249777722986138,20.002704595827204,-57.32000000000001,-3.798000000000002,5,-0.9057261798790175,31.322581246776856
187294,5,Extend,>>,-851,-68.75,389,384,507,12.784029548628531,4.5436577711290855,17.327687319757615,-61.11800000000001,-3.798000000000002,5,-0.9057261798790175,31.322581246776856
187404,5,Extend,>>,-895,-72.53,389,382,503,10.888209855947643,4.00975729587081,14.897967151818452,-64.898,-3.779999999999987,5,-0.9462310635916302,29.71414721758094
187514,5,Extend,>>,-939,-76.31,384,380,499,9.16628156115857,2.95557783778251,12.12185939894108,-68.696,-3.798000000000002,5,-0.9868285821570435,28.14334020899084
187625,5,Extend,>>,-983,-80.09,384,379,493,8.247500823761142,2.020136822141721,10.267637645902862,-72.494,-3.798000000000002,5,-1.0071620795095497,27.372135272821733
187734,5,Extend,>>,-1027,-83.78,384,377,485,7.205566093612621,1.6587023552193216,8.864268448831943,-76.292,-3.798000000000002,5,-1.0478985503541645,25.858299760767213
