Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
94010,5,Extend,>>,-15,4.22,432,397,553,39.54992250969693,23.64777697703741,63.19769948673434,11.462,-2.76,0.20004963886359003,2,-0.048171087355043496
94119,5,Extend,>>,-59,0.26,432,395,551,38.43926737140731,22.92615695921161,61.36542433061892,7.910000000000001,-3.5519999999999987,0.13805554383275148,2,-0.11016518238588205
94229,5,Extend,>>,-103,-3.6,434,397,554,37.02253561000177,22.30714723065251,59.32968284065428,4.095999999999999,-3.814000000000002,0.07148868616168773,2,-0.17673204005694582
94338,5,Extend,>>,-147,-7.47,433,394,552,35.769458478139015,21.83751635040103,57.60697482854005,0.26400000000000007,-3.831999999999999,0.0046076692252650315,2,-0.2436130569933685
94449,5,Extend,>>,-191,-11.43,434,396,551,34.3763906503068,20.80975282726518,55.18614347757198,-3.604,-3.8680000000000003,-0.06290166624187564,2,-0.31112239246050916
94558,5,Extend,>>,-235,-15.21,430,394,551,33.42542834206648,20.26559795938113,53.69102630144761,-7.49,-3.886,-0.13072516097437528,2,-0.3789458871930088
94668,5,Extend,>>,-279,-18.9,432,395,550,32.55932226079636,19.49363984200335,52.05296210279971,-11.322,-3.831999999999999,-0.197606177910798,2,-0.4458269041294315
94777,5,Extend,>>,-323,-22.68,431,397,548,31.242489167436112,18.098794272033548,49.34128343946966,-15.138,-3.8160000000000007,-0.26420794216690163,2,-0.5124286683855351
94887,5,Extend,>>,-367,-26.64,429,397,547,30.33475233682933,17.293826869859938,47.62857920668927,-18.972,-3.8340000000000014,-0.3311238656883642,2,-0.5793445919069977
94997,5,Extend,>>,-411,-30.42,427,391,543,29.34793037216552,16.470308933982793,45.818239306148314,-22.77,-3.7979999999999983,-0.3974114706791088,2,-0.6456321968977423
95107,5,Extend,>>,-455,-34.37,427,394,543,27.834785359436346,15.630866903865742,43.46565226330209,-26.601999999999997,-3.831999999999997,-0.4642924876155315,2,-0.712513213834165
95216,5,Extend,>>,-499,-38.15,426,394,538,25.949706473988105,14.211963713973802,40.1616701879619,-30.451999999999998,-3.8500000000000014,-0.5314876638173132,2,-0.7797083900359467
95326,5,Extend,>>,-543,-41.93,422,393,536,24.13961918396001,12.889262394570888,37.0288815785309,-34.302,-3.8500000000000014,-0.5986828400190949,2,-0.8469035662377284
95435,5,Extend,>>,-587,-45.8,421,393,532,22.011001172829157,11.94089674240341,33.951897915232564,-38.134,-3.8320000000000007,-0.6655638569555177,2,-0.9137845831741512
95545,5,Extend,>>,-631,-49.76,420,395,530,19.07745437121935,10.28892750996052,29.36638188117987,-42.001999999999995,-3.867999999999995,-0.7330731924226582,2,-0.9812939186412918
95655,5,Extend,>>,-675,-53.63,417,391,527,16.65992659542798,8.596126172560037,25.256052767988017,-45.854,-3.852000000000004,-0.8003032752094799,2,-1.0485240014281134
95764,5,Extend,>>,-719,-57.32,410,393,525,14.630561549051354,7.260758328142135,21.89131987719349,-49.688,-3.834000000000003,-0.8672191987309426,2,-1.1154399249495761
95875,5,Extend,>>,-763,-61.1,400,390,517,12.564521935124985,6.219375033837886,18.78389696896287,-53.522000000000006,-3.834000000000003,-0.9341351222524051,2,-1.1823558484710386
95985,5,Extend,>>,-807,-64.88,394,392,511,10.205393421910696,4.717916038129816,14.923309460040512,-57.338,-3.8159999999999954,-1.0007368865085087,2,-1.2489576127271422
96095,5,Extend,>>,-851,-68.75,386,387,506,8.932553120815125,3.779519854295561,12.712072975110686,-61.136,-3.798000000000002,-1.0670244914992533,2,-1.3152452177178868
96204,5,Extend,>>,-895,-72.53,389,389,499,7.912866364998287,2.808518537792674,10.72138490279096,-64.916,-3.779999999999994,-1.1329979372246388,2,-1.3812186634432724
96314,5,Extend,>>,-939,-76.31,383,385,492,6.653447742393758,2.216335327933592,8.86978307032735,-68.714,-3.798000000000002,-1.1992855422153836,2,-1.4475062684340172
