Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
18927,2,Flex,<<,-2240,-201.85,566,147.74880866482331,163.77425521992453,-197.98,-3.4554028530983736,-3.305999999999983,102.0,0
19029,2,Flex,<<,-2180,-197.8,569,148.72363352377891,164.1738872983869,-199.456,-3.48116391285781,-1.475999999999999,102.0,0
41407,2,Flex,>>,998,95.21,1240,127.32497392361392,151.889772639241,103.78999999999999,1.8114772306449145,-1.3000000000000114,22378.0,1
41509,2,Flex,>>,938,90.02,1243,126.94683864012826,150.7617977273309,100.026,1.745783037599848,-3.763999999999996,102.0,1
41611,2,Flex,>>,878,84.75,1246,126.43915011733014,150.2518773396924,95.208,1.6616930742387612,-4.817999999999998,102.0,1
41713,2,Flex,>>,818,79.56,1249,125.41887728919816,150.2551187030578,90.00399999999999,1.5708661399649761,-5.204000000000008,102.0,1
41817,2,Flex,>>,758,74.29,1252,124.65477690704392,150.26561230290685,84.76599999999999,1.4794457937455132,-5.2379999999999995,104.0,1
41919,2,Flex,>>,698,69.1,1256,123.56495029863687,149.59346952425676,79.544,1.3883047002063695,-5.221999999999994,102.0,1
42021,2,Flex,>>,638,63.91,1259,123.49860364546886,148.73959114848338,74.322,1.2971636066672256,-5.221999999999994,102.0,1
42124,2,Flex,>>,578,58.73,1262,123.06046891756952,147.72435568542238,69.118,1.2063366723934406,-5.204000000000008,103.0,1
42226,2,Flex,>>,518,53.54,1265,122.32918698549284,147.98958759281922,63.914,1.1155097381196557,-5.2039999999999935,102.0,1
42328,2,Flex,>>,458,48.09,1268,122.0646722068178,147.78706417482763,58.674,1.024054485315153,-5.240000000000002,102.0,1
42431,2,Flex,>>,398,42.99,1271,121.66195271158566,148.15716923741184,53.452,0.932913391776009,-5.222000000000001,103.0,1
42533,2,Flex,>>,338,37.71,1274,121.92921448223808,147.34749616504922,48.212,0.8414581389715062,-5.239999999999995,102.0,1
42636,2,Flex,>>,278,32.44,1277,121.967940924136,147.59527395918266,42.95399999999999,0.7496887269016442,-5.25800000000001,103.0,1
42739,2,Flex,>>,218,27.16,1280,121.93624848835104,148.56902141895924,37.678000000000004,0.6576051555664235,-5.275999999999989,103.0,1
42841,2,Flex,>>,158,21.8,1283,122.77221452415996,148.6371605307275,32.42,0.5658357434965616,-5.258000000000003,102.0,1
42943,2,Flex,>>,98,16.53,1286,123.42874309170504,148.9085627674188,27.127999999999997,0.47347291948102166,-5.292000000000005,102.0,1
43046,2,Flex,>>,38,11.34,1289,124.15540372692844,148.94947400500683,21.854,0.38142425473084074,-5.273999999999997,103.0,1
43149,2,Flex,>>,-22,6.15,1292,125.20290293247504,149.05060845532577,16.596,0.2896548426609789,-5.257999999999999,103.0,1
43252,2,Flex,>>,-82,0.88,1295,125.46312472558444,149.8567758509553,11.34,0.19792033717615698,-5.256,103.0,1
43354,2,Flex,>>,-142,-4.31,1299,126.11310726593088,149.8463624281584,6.118,0.10677924363701309,-5.2219999999999995,102.0,1
