Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
59314,5,Extend,>>,-1433,-118.95,1777.0,164.57914241230955,169.0034031608894,-112.458,-1.962762370207783,-3.2179999999999893
59416,5,Extend,>>,-1470,-122.2,1780.0,163.89147793050788,167.72822827298197,-115.694,-2.0192412248023195,-3.236000000000004
59519,5,Extend,>>,-1507,-125.36,1784.0,162.37962822683772,168.28040090500588,-118.946,-2.075999332077175,-3.2519999999999953
59622,5,Extend,>>,-1544,-128.44,1787.0,161.4168981158481,167.57143474207837,-122.146,-2.1318498681409936,-3.200000000000003
59724,5,Extend,>>,-1581,-131.6,1790.0,160.1046973870361,167.25600058079712,-125.30999999999999,-2.187072085674094,-3.1639999999999873
59827,5,Extend,>>,-1618,-134.95,1793.0,159.019929828158,167.00039341662787,-128.51,-2.242922621737913,-3.200000000000003
59930,5,Extend,>>,-1655,-138.11,1796.0,157.8975193581223,166.8376680501448,-131.692,-2.298458998536373,-3.1820000000000164
60033,5,Extend,>>,-1692,-141.36,1799.0,156.78452834638642,166.40324227376115,-134.892,-2.354309534600191,-3.1999999999999886
60136,5,Extend,>>,-1729,-144.53,1802.0,156.03843342214773,166.12222652209607,-138.10999999999999,-2.410474229929368,-3.2179999999999893
60239,5,Extend,>>,-1766,-147.6,1805.0,155.56748150276752,165.86610723673746,-141.31,-2.4663247659931873,-3.200000000000017
60341,5,Extend,>>,-1803,-150.77,1808.0,155.1824468878598,165.218992139201,-144.474,-2.5215469835262874,-3.1639999999999873
60444,5,Extend,>>,-1840,-153.85,1811.0,154.25116676164657,165.1064442632874,-147.622,-2.5764899483790695,-3.1480000000000246
60546,5,Extend,>>,-1877,-157.19,1814.0,153.86548940943115,164.9884905024925,-150.788,-2.63174707249721,-3.165999999999997
60649,5,Extend,>>,-1914,-160.53,1817.0,153.85694883228402,164.223055706525,-153.988,-2.687597608561028,-3.1999999999999886
60752,5,Extend,>>,-1951,-163.69,1820.0,153.17636227651795,164.85767737042713,-157.206,-2.7437623038902057,-3.2179999999999893
60855,5,Extend,>>,-1988,-166.68,1824.0,153.2095978531328,164.60986578536145,-160.388,-2.7992986806886653,-3.1820000000000164
60958,5,Extend,>>,-2025,-169.76,1827.0,152.8790969134606,164.64559257889147,-163.57,-2.854835057487125,-3.181999999999988
61060,5,Extend,<<,-2025,-172.92,1830.0,153.17594079524935,164.43235684352106,-166.716,-2.9097431157548668,-3.146000000000015
