Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
46428,2,Flex,>>,-1942,-160.79,1391.0,131.3876967645408,143.3226630635102,-150.542,-2.6274535625373034,-5.133999999999986
46531,2,Flex,>>,-2002,-165.8,1394.0,131.26140480447896,143.4088763322104,-155.62199999999999,-2.716116288538615,-5.079999999999984
46633,2,Flex,>>,-2062,-170.99,1397.0,131.85266094898566,142.88926766904578,-160.738,-2.8054073330706455,-5.116000000000014
46736,2,Flex,>>,-2122,-175.82,1400.0,131.7323043430212,143.45208261900777,-165.8,-2.8937558998065986,-5.062000000000012
46838,2,Flex,>>,-2182,-180.84,1403.0,131.45344165137948,144.0266986539296,-170.848,-2.9818601204472723,-5.048000000000002
46941,2,Flex,>>,-2242,-185.85,1406.0,132.24916520411875,143.23097510119032,-175.85999999999999,-3.0693360225572275,-5.011999999999972
47044,2,Flex,>>,-2302,-190.86,1409.0,131.98721249581666,143.6013848587149,-180.872,-3.156811924667184,-5.012000000000029
47147,2,Flex,>>,-2362,-195.78,1412.0,131.98721249581666,143.9726266148964,-185.83,-3.243345348981063,-4.957999999999998
47250,2,Flex,<<,-2362,-200.7,1415.0,132.31934187429837,143.43942426667968,-190.80599999999998,-3.3301929325603004,-4.975999999999971
47353,2,Flex,<<,-2302,-202.11,1419.0,132.2484265050327,143.80913251126287,-195.06,-3.4044392389401392,-4.254000000000019
47455,2,Flex,<<,-2242,-202.11,1422.0,132.57117220786847,144.15778403425654,-198.312,-3.461197346214995,-3.2520000000000095
47557,2,Flex,<<,-2182,-197.98,1425.0,133.84099923995058,144.49405753725466,-199.73600000000002,-3.4860508347633945,-1.4240000000000066
69993,2,Flex,>>,997,95.21,2098.0,126.64571645085864,140.98601809389584,103.75399999999999,1.8108489121141964,-1.4599999999999937
70095,2,Flex,>>,937,89.93,2101.0,125.9049636952264,141.48103114271242,99.972,1.744840559803771,-3.7819999999999965
70198,2,Flex,>>,877,84.66,2104.0,125.16465259417828,141.06149134661032,95.15400000000001,1.6607505964426845,-4.817999999999984
70301,2,Flex,>>,817,79.38,2107.0,125.0844569084978,140.64331828053398,89.932,1.5696095029035404,-5.222000000000008
70403,2,Flex,>>,757,74.2,2110.0,125.2566496155186,140.56297496662376,84.676,1.4778749974187184,-5.256
70506,2,Flex,>>,697,69.01,2113.0,124.71512986731302,140.9433802567543,79.436,1.3864197446142157,-5.239999999999995
70608,2,Flex,>>,637,63.82,2116.0,123.87133420333542,140.49578271915357,74.214,1.2952786510750718,-5.222000000000008
