Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
55829,5,Extend,>>,-175,-10.64,1673,178.73095936258258,167.72043733788044,-4.114,-0.07180284542704672,-3.254,103.0,1
55931,5,Extend,>>,-212,-13.71,1676,179.2267735784676,167.41156244966697,-7.348000000000001,-0.12824679343654335,-3.234000000000001,102.0,1
56034,5,Extend,>>,-249,-16.97,1679,178.41815534407016,166.64674542695306,-10.565999999999999,-0.18441148876572083,-3.217999999999998,103.0,1
56137,5,Extend,>>,-286,-20.04,1682,178.24962699729363,165.95304704070043,-13.748000000000001,-0.23994786556418043,-3.182000000000002,103.0,1
56239,5,Extend,>>,-323,-23.21,1685,177.08068024245253,166.6488347702571,-16.913999999999998,-0.29520498968232084,-3.165999999999997,102.0,1
56341,5,Extend,>>,-360,-26.46,1688,176.82038778203645,165.97191555244393,-20.078,-0.3504272072154215,-3.1640000000000015,102.0,1
56443,5,Extend,>>,-397,-29.54,1691,176.8660668156287,166.29044112012795,-23.244,-0.40568433133356196,-3.1660000000000004,102.0,1
56546,5,Extend,>>,-434,-32.88,1694,177.73173387204577,165.76362617997503,-26.426,-0.4612207081320215,-3.1819999999999986,103.0,1
56648,5,Extend,>>,-471,-36.04,1697,177.70571989902592,166.12925623666453,-29.625999999999998,-0.51707124419584,-3.1999999999999993,102.0,1
56751,5,Extend,>>,-508,-39.3,1700,177.50069549214447,167.095462506077,-32.844,-0.5732359395250176,-3.2180000000000035,103.0,1
56853,5,Extend,>>,-545,-42.37,1704,178.64739099608303,167.00029883685605,-36.025999999999996,-0.6287723163234771,-3.181999999999995,102.0,1
56956,5,Extend,>>,-582,-45.54,1707,179.21406452365383,166.8610998036605,-39.226,-0.6846228523872957,-3.200000000000003,103.0,1
57058,5,Extend,>>,-619,-48.88,1710,179.19946980391998,167.07842580457893,-42.426,-0.7404733884511143,-3.200000000000003,102.0,1
57161,5,Extend,>>,-656,-52.13,1713,179.40399157745537,167.71997904145942,-45.644,-0.7966380837802918,-3.2179999999999964,103.0,1
57263,5,Extend,>>,-693,-55.21,1716,179.6100437545547,168.32249739936793,-48.826,-0.8521744605787513,-3.182000000000002,102.0,1
